step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
340,30824,680,0.020515689136769655,0.5,0.5,,,,,,,,,
341,30906,682,0.034810584276947346,0.5,0.5,,,,,,,,,
342,31020,684,0.02673726471060945,1.0,1.0,,,,,,,,,
343,31070,686,0.04586215780242734,0.5,0.5,,,,,,,,,
344,31120,688,0.04959343698529058,1.0,1.0,,,,,,,,,
345,31234,690,0.032157080959285454,0.0,0.0,0.036600862813480496,1.0,1.0,,,,,,
346,31300,692,0.04023577664835101,0.5,0.5,,,,,,,,,
347,31366,694,0.056713087190382795,0.5,0.5,,,,,,,,,
348,31448,696,0.05935123432328693,0.5,0.5,,,,,,,,,
349,31498,698,0.02690385704947403,1.0,1.0,,,,,,,,,
350,31564,700,0.03731107403275019,1.0,1.0,,,,,,,,,
351,31630,702,0.019951571785277337,1.0,1.0,,,,,,,,,
352,31744,704,0.0376068529983916,0.5,0.5,,,,,,,,,
353,31842,706,0.027239768516871363,1.0,1.0,0.019483395640975988,1.0,1.0,,,,,,
354,31924,708,0.03495036553990212,1.0,1.0,,,,,,,,,
355,31990,710,0.026551970653454188,1.0,1.0,,,,,,,,,
356,32072,712,0.06390812598705815,0.5,0.5,,,,,,,,,
357,32138,714,0.050998047961456905,0.5,0.5,,,,,,,,,
358,32236,716,0.04036262140015121,0.5,0.5,,,,,,,,,
359,32318,718,0.03252812995755812,0.5,0.5,,,,,,,,,
360,32352,720,0.06394240813911893,1.0,1.0,,,,,,,,,
361,32450,722,0.019765173665752322,1.0,1.0,0.042935358529848595,0.5,0.5,,,,,,
362,32516,724,0.03930366025013427,0.5,0.5,,,,,,,,,
363,32646,726,0.023929743782518928,1.0,1.0,,,,,,,,,
364,32696,728,0.0421096611310107,1.0,1.0,,,,,,,,,
365,32778,730,0.01839601425017463,1.0,1.0,,,,,,,,,
366,32876,732,0.040768458645652574,0.0,0.0,,,,,,,,,
367,32926,734,0.03823987285638092,1.0,1.0,,,,,,,,,
368,32992,736,0.0346290999003395,1.0,1.0,,,,,,,,,
369,33090,738,0.02532236091149874,1.0,1.0,0.045902132229530254,1.0,1.0,,,,,,
370,33156,740,0.1696670793263911,0.0,0.0,,,,,,,,,
371,33270,742,0.017888918634437558,1.0,1.0,,,,,,,,,
372,33352,744,0.032136501779430546,0.5,0.5,,,,,,,,,
373,33482,746,0.09044790353800637,0.0,0.0,,,,,,,,,
374,33532,748,0.04917634523745316,0.5,0.5,,,,,,,,,
375,33598,750,0.037015461545174724,1.0,1.0,,,,,,,,,
376,33648,752,0.0867664197984656,0.5,0.5,,,,,,,,,
377,33794,754,0.027381655354693068,0.5,0.5,0.038768322274409,0.5,0.5,,,,,,
378,33876,756,0.04514139546487422,0.5,0.5,,,,,,,,,
379,33942,758,0.061006015739039875,0.5,0.5,,,,,,,,,
380,34056,760,0.025927517042907442,1.0,1.0,,,,,,,,,
381,34122,762,0.01719103622581315,1.0,1.0,,,,,,,,,
382,34204,764,0.023670223871711638,1.0,1.0,,,,,,,,,
383,34334,766,0.030421684621478564,0.5,0.5,,,,,,,,,
384,34384,768,0.06961969701952815,0.5,0.5,,,,,,,,,
385,34466,770,0.04258915729139699,0.5,0.5,0.019393842310188727,1.0,1.0,,,,,,
386,34532,772,0.03356281741673229,1.0,1.0,,,,,,,,,
